ENTITY_CD,ENTITY_NAME,YEAR,COMMON_BRANCH,GRADE_8_MATH,GRADE_8_ENGLISH,GRADE_8_SCI,GRADE_8_SS,GRADE_10_ENGLISH,GRADE_10_MATH,GRADE_10_SCI,GRADE_10_SS
280210030007,PLAZA ELEMENTARY SCHOOL,2014,24,,,,,,,,
280210030010,STEELE ELEMENTARY SCHOOL,2014,21,,,,,,,,
280210030012,BALDWIN MIDDLE SCHOOL,2014,,26,26,27,24,,,,
280210030013,BALDWIN SENIOR HIGH SCHOOL,2014,,,,,,22,23,22,24
280211030000,OCEANSIDE UNION FREE SCHOOL DISTRICT,2014,21,27,26,24,28,25,26,22,23
280205030011,NORTHSIDE SCHOOL,2015,22,,,,,,,,
280205030013,JONAS E SALK MIDDLE SCHOOL,2015,,23,22,25,25,,,,
280205030015,DIVISION AVENUE SENIOR HIGH SCHOOL,2015,,,,,,24,22,22,26
280205030016,GEN DOUGLAS MACARTHUR SENIOR HIGH SCHOOL,2015,,,,,,23,23,25,23
280206030000,SEAFORD UNION FREE SCHOOL DISTRICT,2015,24,21,21,22,21,22,24,24,23
280206030003,SEAFORD HARBOR SCHOOL,2015,25,,,,,,,,
280206030004,SEAFORD MANOR SCHOOL,2015,22,,,,,,,,
280206030005,SEAFORD MIDDLE SCHOOL,2015,,22,21,21,21,,,,
280206030006,SEAFORD SENIOR HIGH SCHOOL,2015,,,,,,23,24,24,23
280211030002,SCHOOL 2,2014,20,,,,,,,,
280211030003,SCHOOL 3,2014,22,,,,,,,,
280211030004,SCHOOL 4,2014,22,,,,,,,,
280211030005,SCHOOL 5,2014,22,,,,,,,,
280211030007,SCHOOL 9E-BOARDMAN ELEM SCHOOL,2014,19,,,,,,,,
280211030008,SCHOOL 8,2014,21,,,,,,,,
280211030009,SCHOOL 9M-OCEANSIDE MIDDLE SCHOOL,2014,,27,26,24,27,,,,
280211030010,SCHOOL 7-OCEANSIDE SENIOR HIGH SCHOOL,2014,,,,23,37,26,26,21,23
280207020000,BELLMORE UNION FREE SCHOOL DISTRICT,2015,21,,,,,,,,
280207020002,SHORE ROAD SCHOOL,2015,21,,,,,,,,
280207020003,WINTHROP AVENUE SCHOOL,2015,22,,,,,,,,
280207020004,REINHARD EARLY CHILDHOOD CENTER,2015,19,,,,,,,,
280208030000,ROOSEVELT UNION FREE SCHOOL DISTRICT,2015,24,17,17,23,25,26,26,,21
280208030002,CENTENNIAL AVENUE ELEMENTARY SCHOOL,2015,22,,,,,,,,
280208030003,ULYSSES BYAS ELEMENTARY SCHOOL,2015,25,,,,,,,,
280208030004,WASHINGTON ROSE SCHOOL,2015,26,,,,,,,,
280208030005,ROOSEVELT HIGH SCHOOL,2015,,,,,,26,26,,21
280208030009,ROOSEVELT MIDDLE SCHOOL,2015,,17,17,23,25,,,,
280211030011,CASTLETON ACADEMY HIGH SCHOOL OF OCEANSIDE,2014,,,,,,19,,,
280211030016,SCHOOL 6-KINDERGARTEN CENTER,2014,,,,,,,,,
280212030000,MALVERNE UNION FREE SCHOOL DISTRICT,2014,24,20,19,20,23,18,,13,18
280212030001,DAVISON AVENUE INTERMEDIATE SCHOOL,2014,25,,,,,,,,
280212030002,MAURICE W DOWNING PRIMARY SCHOOL,2014,24,,,,,,,,
280212030005,MALVERNE SENIOR HIGH SCHOOL,2014,,,,23,21,18,,13,18
280212030006,HOWARD T HERBER MIDDLE SCHOOL,2014,21,20,19,19,24,,,,
280208860024,ROOSEVELT CHILDREN'S ACADEMY CHARTER SCHOOL,2015,22,30,29,,29,,,,
280209030000,FREEPORT UNION FREE SCHOOL DISTRICT,2015,24,23,21,23,21,19,17,22,21
280209030001,ARCHER STREET SCHOOL,2015,25,,,,,,,,
280209030002,BAYVIEW AVENUE SCHOOL,2015,23,,,,,,,,
280209030003,CAROLINE G ATKINSON SCHOOL,2015,24,,,,,,,,
280209030004,COLUMBUS AVENUE SCHOOL,2015,,,,,,,,,
280209030005,LEO F GIBLYN SCHOOL,2015,25,,,,,,,,
280209030006,JOHN W DODD MIDDLE SCHOOL,2015,,23,21,23,21,,,,
280209030007,FREEPORT HIGH SCHOOL,2015,,,,,,19,17,22,21
280213020000,VALLEY STREAM 13 UNION FREE SCHOOL DISTRICT,2014,21,,,,,,,,
280213020001,JAMES A DEVER SCHOOL,2014,21,,,,,,,,
280213020002,HOWELL ROAD SCHOOL,2014,22,,,,,,,,
280213020003,WHEELER AVENUE SCHOOL,2014,23,,,,,,,,
280213020004,WILLOW ROAD SCHOOL,2014,19,,,,,,,,
280214030000,HEWLETT-WOODMERE UNION FREE SCHOOL DISTRICT,2014,21,26,26,26,26,25,25,18,22
280214030001,FRANKLIN EARLY CHILDHOOD CENTER,2014,20,,,,,,,,
280214030002,HEWLETT ELEMENTARY SCHOOL,2014,20,,,,,,,,
280214030003,OGDEN ELEMENTARY SCHOOL,2014,21,,,,,,,,
280214030006,WOODMERE MIDDLE SCHOOL,2014,25,26,26,26,26,,,,
280214030007,GEORGE W HEWLETT HIGH SCHOOL,2014,,,,,,25,28,18,22
280209030009,NEW VISIONS ELEMENTARY SCHOOL,2015,26,,,,,,,,
280210030000,BALDWIN UNION FREE SCHOOL DISTRICT,2015,22,27,25,27,30,26,23,22,24
280210030001,BROOKSIDE ELEMENTARY SCHOOL,2015,23,,,,,,,,
280210030004,LENOX ELEMENTARY SCHOOL,2015,23,,,,,,,,
280210030005,MEADOW ELEMENTARY SCHOOL,2015,22,,,,,,,,
280210030007,PLAZA ELEMENTARY SCHOOL,2015,22,,,,,,,,
280210030010,STEELE ELEMENTARY SCHOOL,2015,21,,,,,,,,
280215030000,LAWRENCE UNION FREE SCHOOL DISTRICT,2014,19,18,22,21,21,18,19,15,19
280215030002,2 SCHOOL,2014,19,,,,,,,,
280215030004,4 SCHOOL,2014,,,,,,,,,
280215030005,5 SCHOOL,2014,19,,,,,,,,
280215030007,LAWRENCE SENIOR HIGH SCHOOL,2014,,19,,,,18,19,15,19
280215030008,LAWRENCE MIDDLE SCHOOL,2014,,18,22,21,21,,18,,
280216020000,ELMONT UNION FREE SCHOOL DISTRICT,2014,22,,,,,,,,
280216020001,ALDEN TERRACE SCHOOL,2014,22,,,,,,,,
280210030012,BALDWIN MIDDLE SCHOOL,2015,,27,25,27,28,,,,24
280210030013,BALDWIN SENIOR HIGH SCHOOL,2015,,,,,,26,23,22,24
280211030000,OCEANSIDE UNION FREE SCHOOL DISTRICT,2015,22,21,22,22,24,18,27,17,21
280211030002,SCHOOL 2,2015,23,,,,,,,,
280211030003,SCHOOL 3,2015,22,,,,,,,,
280211030004,SCHOOL 4,2015,22,,,,,,,,
280211030005,SCHOOL 5,2015,22,,,,,,,,
280211030007,SCHOOL 9E-BOARDMAN ELEM SCHOOL,2015,19,,,,,,,,
280211030008,SCHOOL 8,2015,22,,,,,,,,
280211030009,SCHOOL 9M-OCEANSIDE MIDDLE SCHOOL,2015,,21,22,22,25,,,,
280216020002,CLARA H CARLSON SCHOOL,2014,22,,,,,,,,
280216020003,COVERT AVENUE SCHOOL,2014,23,,,,,,,,
280216020004,DUTCH BROADWAY SCHOOL,2014,21,,,,,,,,
280216020006,GOTHAM AVENUE SCHOOL,2014,21,,,,,,,,
280216020007,STEWART MANOR SCHOOL,2014,20,,,,,,,,
280217020000,FRANKLIN SQUARE UNION FREE SCHOOL DISTRICT,2014,21,,,,,,,,
280217020001,JOHN STREET SCHOOL,2014,22,,,,,,,,
280211030010,SCHOOL 7-OCEANSIDE SENIOR HIGH SCHOOL,2015,,,,,,17,27,18,22
280211030011,CASTLETON ACADEMY HIGH SCHOOL OF OCEANSIDE,2015,,,,,,,,,9
280211030016,SCHOOL 6-KINDERGARTEN CENTER,2015,,,,,,,,,
280212030000,MALVERNE UNION FREE SCHOOL DISTRICT,2015,24,22,21,23,22,20,,19,24
280212030001,DAVISON AVENUE INTERMEDIATE SCHOOL,2015,23,,,,,,,,
280212030002,MAURICE W DOWNING PRIMARY SCHOOL,2015,24,,,,,,,,
280212030005,MALVERNE SENIOR HIGH SCHOOL,2015,,,,,,20,,19,24
280212030006,HOWARD T HERBER MIDDLE SCHOOL,2015,40,22,24,20,22,,,,
280213020000,VALLEY STREAM 13 UNION FREE SCHOOL DISTRICT,2015,23,,,,,,,,
280213020001,JAMES A DEVER SCHOOL,2015,21,,,,,,,,
280217020003,POLK STREET SCHOOL,2014,22,,,,,,,,
280217020004,WASHINGTON STREET SCHOOL,2014,21,,,,,,,,
280218030000,GARDEN CITY UNION FREE SCHOOL DISTRICT,2014,23,25,25,24,25,23,25,26,23
280218030001,HEMLOCK SCHOOL,2014,23,,,,,,,,
280218030002,HOMESTEAD SCHOOL,2014,22,,,,,,,,
280218030003,LOCUST SCHOOL,2014,17,,,,,,,,
280218030004,STRATFORD AVENUE SCHOOL,2014,23,,,,,,,,
280218030005,STEWART SCHOOL,2014,24,,,,,,,,
280218030006,GARDEN CITY MIDDLE SCHOOL,2014,,25,25,24,25,,,,
280218030007,GARDEN CITY HIGH SCHOOL,2014,,,,,,23,25,26,22
280219030000,EAST ROCKAWAY UNION FREE SCHOOL DISTRICT,2014,23,21,20,19,,22,26,23,24
280219030001,RHAME AVENUE ELEMENTARY SCHOOL,2014,21,,,,,,,,
280219030002,EAST ROCKAWAY JUNIOR-SENIOR HIGH SCHOOL,2014,,21,20,19,,22,26,23,24
280219030004,CENTRE AVENUE ELEMENTARY SCHOOL,2014,25,,,,,,,,
280220030000,LYNBROOK UNION FREE SCHOOL DISTRICT,2014,21,23,20,22,23,21,25,18,26
280220030001,KINDERGARTEN CENTER,2014,,,,,,,,,
280220030002,MARION STREET SCHOOL,2014,21,,,,,,,,
280220030003,WAVERLY PARK SCHOOL,2014,22,,,,,,,,
280220030004,WEST END SCHOOL,2014,20,,,,,,,,
280220030005,LYNBROOK NORTH MIDDLE SCHOOL,2014,,22,15,21,22,,,,
280220030006,LYNBROOK SOUTH MIDDLE SCHOOL,2014,,23,25,23,23,,,,
280220030007,LYNBROOK SENIOR HIGH SCHOOL,2014,,,,,,21,25,18,26
280221030000,ROCKVILLE CENTRE UNION FREE SCHOOL DISTRICT,2014,21,24,22,16,22,19,17,19,24
280221030001,SOUTH SIDE HIGH SCHOOL,2014,,,,,,19,17,19,24
280221030002,SOUTH SIDE MIDDLE SCHOOL,2014,,24,22,16,22,,,,
280221030003,WATSON SCHOOL,2014,23,,,,,,,,
280213020002,HOWELL ROAD SCHOOL,2015,23,,,,,,,,
280213020003,WHEELER AVENUE SCHOOL,2015,23,,,,,,,,
280213020004,WILLOW ROAD SCHOOL,2015,23,,,,,,,,
280214030000,HEWLETT-WOODMERE UNION FREE SCHOOL DISTRICT,2015,21,22,24,24,23,24,18,12,25
280214030001,FRANKLIN EARLY CHILDHOOD CENTER,2015,20,,,,,,,,
280214030002,HEWLETT ELEMENTARY SCHOOL,2015,21,,,,,,,,
280214030003,OGDEN ELEMENTARY SCHOOL,2015,20,,,,,,,,
280214030006,WOODMERE MIDDLE SCHOOL,2015,23,23,24,24,23,,,,
280214030007,GEORGE W HEWLETT HIGH SCHOOL,2015,,,,,,24,18,12,25
280221030004,RIVERSIDE SCHOOL,2014,16,,,,,,,,
280221030005,HEWITT SCHOOL,2014,21,,,,,,,,
280221030006,WILLIAM S COVERT SCHOOL,2014,20,,,,,,,,
280221030008,WILSON SCHOOL,2014,23,,,,,,,,
280222020000,FLORAL PARK-BELLEROSE UNION FREE SCHOOL DISTRICT,2014,22,,,,,,,,
280222020001,FLORAL PARK-BELLEROSE SCHOOL,2014,23,,,,,,,,
280222020002,JOHN LEWIS CHILDS SCHOOL,2014,21,,,,,,,,
280215030000,LAWRENCE UNION FREE SCHOOL DISTRICT,2015,18,24,20,22,21,17,21,18,21
280215030002,2 SCHOOL,2015,20,,,,,,,,
280215030004,4 SCHOOL,2015,,,,,,,,,
280215030005,5 SCHOOL,2015,17,,,,,,,,
280215030007,LAWRENCE SENIOR HIGH SCHOOL,2015,,,,,,17,21,18,21
280215030008,LAWRENCE MIDDLE SCHOOL,2015,,23,20,23,21,,,,
280216020000,ELMONT UNION FREE SCHOOL DISTRICT,2015,22,,,,,,,,
280216020001,ALDEN TERRACE SCHOOL,2015,19,,,,,,,,
280216020002,CLARA H CARLSON SCHOOL,2015,24,,,,,,,,
280216020003,COVERT AVENUE SCHOOL,2015,23,,,,,,,,
280216020004,DUTCH BROADWAY SCHOOL,2015,21,,,,,,,,
280223030000,WANTAGH UNION FREE SCHOOL DISTRICT,2014,23,20,26,22,24,27,26,23,25
280223030001,FOREST LAKE SCHOOL,2014,22,,,,,,,,
280223030002,MANDALAY SCHOOL,2014,23,,,,,,,,
280223030004,WANTAGH SCHOOL,2014,23,,,,,,,,
280223030005,WANTAGH SENIOR HIGH SCHOOL,2014,,,,,,27,25,24,25
280223030006,WANTAGH MIDDLE SCHOOL,2014,,20,26,22,24,,,17,
280224020000,VALLEY STREAM 24 UNION FREE SCHOOL DISTRICT,2014,21,,,,,,,,
280224020001,BROOKLYN AVENUE SCHOOL,2014,20,,,,,,,,
280216020006,GOTHAM AVENUE SCHOOL,2015,21,,,,,,,,
280216020007,STEWART MANOR SCHOOL,2015,21,,,,,,,,
280217020000,FRANKLIN SQUARE UNION FREE SCHOOL DISTRICT,2015,21,,,,,,,,
280217020001,JOHN STREET SCHOOL,2015,21,,,,,,,,
280217020003,POLK STREET SCHOOL,2015,21,,,,,,,,
280217020004,WASHINGTON STREET SCHOOL,2015,21,,,,,,,,
280218030000,GARDEN CITY UNION FREE SCHOOL DISTRICT,2015,24,26,25,24,24,23,25,20,22
280218030001,HEMLOCK SCHOOL,2015,21,,,,,,,,
280218030002,HOMESTEAD SCHOOL,2015,24,,,,,,,,
280224020003,ROBERT W CARBONARO SCHOOL,2014,21,,,,,,,,
280224020004,WILLIAM L BUCK SCHOOL,2014,22,,,,,,,,
280225020000,MERRICK UNION FREE SCHOOL DISTRICT,2014,19,,,,,,,,
280225020001,BIRCH SCHOOL,2014,19,,,,,,,,
280225020002,NORMAN J LEVY LAKESIDE SCHOOL,2014,19,,,,,,,,
280225020003,CHATTERTON SCHOOL,2014,19,,,,,,,,
280218030003,LOCUST SCHOOL,2015,21,,,,,,,,
280218030004,STRATFORD AVENUE SCHOOL,2015,25,,,,,,,,
280218030005,STEWART SCHOOL,2015,24,,,,,,,,
280218030006,GARDEN CITY MIDDLE SCHOOL,2015,,26,25,24,24,,,,
280218030007,GARDEN CITY HIGH SCHOOL,2015,,,,,,23,25,22,22
280219030000,EAST ROCKAWAY UNION FREE SCHOOL DISTRICT,2015,23,18,15,15,17,20,18,18,19
280219030001,RHAME AVENUE ELEMENTARY SCHOOL,2015,22,,,,,,,,
280219030002,EAST ROCKAWAY JUNIOR-SENIOR HIGH SCHOOL,2015,,18,15,15,17,20,18,18,19
280219030004,CENTRE AVENUE ELEMENTARY SCHOOL,2015,25,,,,,,,,
280220030000,LYNBROOK UNION FREE SCHOOL DISTRICT,2015,21,20,22,18,24,16,18,19,25
280220030001,KINDERGARTEN CENTER,2015,,,,,,,,,
280226030000,ISLAND TREES UNION FREE SCHOOL DISTRICT,2014,22,24,21,24,25,25,21,22,25
280226030002,ISLAND TREES MIDDLE SCHOOL,2014,22,24,21,24,25,,,,
280226030003,MICHAEL F STOKES SCHOOL,2014,22,,,,,,,,
280226030004,J FRED SPARKE SCHOOL,2014,22,,,,,,,,
280226030006,ISLAND TREES HIGH SCHOOL,2014,,,,,,25,21,22,25
280227030000,WEST HEMPSTEAD UNION FREE SCHOOL DISTRICT,2014,21,22,20,25,24,26,25,25,26
280227030002,CORNWELL AVENUE SCHOOL,2014,21,,,,,,,,
280227030003,CHESTNUT STREET SCHOOL,2014,,,,,,,,,
280220030002,MARION STREET SCHOOL,2015,20,,,,,,,,
280220030003,WAVERLY PARK SCHOOL,2015,22,,,,,,,,
280220030004,WEST END SCHOOL,2015,21,,,,,,,,
280220030005,LYNBROOK NORTH MIDDLE SCHOOL,2015,,18,20,17,23,,,,
280220030006,LYNBROOK SOUTH MIDDLE SCHOOL,2015,,21,24,19,25,,,,
280220030007,LYNBROOK SENIOR HIGH SCHOOL,2015,,,,,,16,18,19,25
280221030000,ROCKVILLE CENTRE UNION FREE SCHOOL DISTRICT,2015,21,23,25,17,25,19,16,17,22
280221030001,SOUTH SIDE HIGH SCHOOL,2015,,,,,,19,16,17,22
280221030002,SOUTH SIDE MIDDLE SCHOOL,2015,,23,25,17,25,,,,
280227030004,WEST HEMPSTEAD MIDDLE SCHOOL,2014,,22,20,25,27,,,,
280227030005,WEST HEMPSTEAD HIGH SCHOOL,2014,,,,,,24,25,25,26
280227030006,GEORGE WASHINGTON SCHOOL,2014,21,,,,,,,,
280229020000,NORTH MERRICK UNION FREE SCHOOL DISTRICT,2014,21,,,,,,,,
280229020001,CAMP AVENUE SCHOOL,2014,21,,,,,,,,
280229020002,HAROLD D FAYETTE SCHOOL,2014,22,,,,,,,,
280229020003,OLD MILL ROAD SCHOOL,2014,21,,,,,,,,
280230020000,VALLEY STREAM 30 UNION FREE SCHOOL DISTRICT,2014,23,,,,,,,,
280230020001,CLEARSTREAM AVENUE SCHOOL,2014,23,,,,,,,,
280230020002,FOREST ROAD SCHOOL,2014,21,,,,,,,,
280230020003,SHAW AVENUE SCHOOL,2014,24,,,,,,,,
280231020000,ISLAND PARK UNION FREE SCHOOL DISTRICT,2014,21,18,17,18,18,,,,
280221030003,WATSON SCHOOL,2015,22,,,,,,,,
280221030004,RIVERSIDE SCHOOL,2015,17,,,,,,,,
280221030005,HEWITT SCHOOL,2015,22,,,,,,,,
280221030006,WILLIAM S COVERT SCHOOL,2015,21,,,,,,,,
280221030008,WILSON SCHOOL,2015,22,,,,,,,,
280222020000,FLORAL PARK-BELLEROSE UNION FREE SCHOOL DISTRICT,2015,21,,,,,,,,
280222020001,FLORAL PARK-BELLEROSE SCHOOL,2015,22,,,,,,,,
280231020001,ISLAND PARK LINCOLN ORENS MIDDLE SCHOOL,2014,20,18,17,18,18,,,,
280231020003,FRANCIS X HEGARTY ELEMENTARY SCHOOL,2014,22,,,,,,,,
280251070000,VALLEY STREAM CENTRAL HIGH SCHOOL DISTRICT,2014,,26,25,26,27,25,24,24,25
280251070001,VALLEY STREAM MEMORIAL JUNIOR HIGH SCHOOL,2014,,25,25,26,27,,,,
280251070002,VALLEY STREAM NORTH HIGH SCHOOL,2014,,26,25,26,26,24,25,25,22
280251070003,VALLEY STREAM SOUTH HIGH SCHOOL,2014,,26,26,26,26,27,25,23,28
280251070004,VALLEY STREAM CENTRAL HIGH SCHOOL,2014,,,,,,25,24,24,25
280252070000,SEWANHAKA CENTRAL HIGH SCHOOL DISTRICT,2014,,27,26,26,27,27,25,25,26
280222020002,JOHN LEWIS CHILDS SCHOOL,2015,21,,,,,,,,
280223030000,WANTAGH UNION FREE SCHOOL DISTRICT,2015,22,26,25,24,26,24,24,22,23
280223030001,FOREST LAKE SCHOOL,2015,19,,,,,,,,
280223030002,MANDALAY SCHOOL,2015,21,,,,,,,,
280223030004,WANTAGH SCHOOL,2015,24,,,,,,,,
280223030005,WANTAGH SENIOR HIGH SCHOOL,2015,,,,,,24,26,22,23
280223030006,WANTAGH MIDDLE SCHOOL,2015,,26,25,22,26,,,,
280252070002,ELMONT MEMORIAL HIGH SCHOOL,2014,,26,23,26,25,25,26,26,25
280252070003,FLORAL PARK MEMORIAL HIGH SCHOOL,2014,,29,24,27,29,27,27,28,29
280252070004,H FRANK CAREY HIGH SCHOOL,2014,,28,28,24,26,27,22,23,23
280252070005,NEW HYDE PARK MEMORIAL HIGH SCHOOL,2014,,28,25,27,26,25,26,23,25
280252070006,SEWANHAKA HIGH SCHOOL,2014,,26,28,26,27,29,24,30,29
280253070000,BELLMORE-MERRICK CENTRAL HIGH SCHOOL DISTRICT,2014,,25,25,26,26,24,22,25,23
280224020000,VALLEY STREAM 24 UNION FREE SCHOOL DISTRICT,2015,21,,,,,,,,
280224020001,BROOKLYN AVENUE SCHOOL,2015,22,,,,,,,,
280224020003,ROBERT W CARBONARO SCHOOL,2015,21,,,,,,,,
280224020004,WILLIAM L BUCK SCHOOL,2015,20,,,,,,,,
280225020000,MERRICK UNION FREE SCHOOL DISTRICT,2015,19,,,,,,,,
280225020001,BIRCH SCHOOL,2015,19,,,,,,,,
280225020002,NORMAN J LEVY LAKESIDE SCHOOL,2015,19,,,,,,,,
280225020003,CHATTERTON SCHOOL,2015,19,,,,,,,,
280253070002,GRAND AVENUE MIDDLE SCHOOL,2014,,25,26,26,26,,,,
280253070004,MERRICK AVENUE MIDDLE SCHOOL,2014,,25,25,25,26,,,,
280253070005,SANFORD H CALHOUN HIGH SCHOOL,2014,,,,,,23,24,26,24
280253070006,WELLINGTON C MEPHAM HIGH SCHOOL,2014,,,,,,24,22,26,23
280253070007,JOHN F KENNEDY HIGH SCHOOL,2014,,,,,,25,23,23,26
280300010000,LONG BEACH CITY SCHOOL DISTRICT,2014,21,21,16,18,21,25,24,21,24
280226030000,ISLAND TREES UNION FREE SCHOOL DISTRICT,2015,23,23,22,23,23,23,20,21,24
280226030002,ISLAND TREES MIDDLE SCHOOL,2015,23,22,22,23,22,,,,
280226030003,MICHAEL F STOKES SCHOOL,2015,22,,,,,,,,
280226030004,J FRED SPARKE SCHOOL,2015,24,,,,,,,,
280226030006,ISLAND TREES HIGH SCHOOL,2015,,,,,,23,20,21,24
280227030000,WEST HEMPSTEAD UNION FREE SCHOOL DISTRICT,2015,21,24,23,25,25,25,18,22,25
280227030002,CORNWELL AVENUE SCHOOL,2015,20,,,,,,,,
280227030003,CHESTNUT STREET SCHOOL,2015,,,,,,,,,
280227030004,WEST HEMPSTEAD MIDDLE SCHOOL,2015,,24,23,25,,,,,
280300010002,EAST ELEMENTARY SCHOOL,2014,21,,,,,,,,
280300010003,LIDO ELEMENTARY SCHOOL,2014,20,,,,,,,,
280300010004,WEST ELEMENTARY SCHOOL,2014,21,,,,,,,,
280300010005,LINDELL BOULEVARD SCHOOL,2014,21,,,,,,,,
280300010006,LONG BEACH MIDDLE SCHOOL,2014,,21,17,18,21,,,,
280300010008,LONG BEACH SENIOR HIGH SCHOOL,2014,,,,,,25,24,22,24
280227030005,WEST HEMPSTEAD HIGH SCHOOL,2015,,,,,,25,18,22,24
280227030006,GEORGE WASHINGTON SCHOOL,2015,23,,,,,,,,
280229020000,NORTH MERRICK UNION FREE SCHOOL DISTRICT,2015,21,,,,,,,,
280229020001,CAMP AVENUE SCHOOL,2015,21,,,,,,,,
280229020002,HAROLD D FAYETTE SCHOOL,2015,19,,,,,,,,
280229020003,OLD MILL ROAD SCHOOL,2015,21,,,,,,,,
280230020000,VALLEY STREAM 30 UNION FREE SCHOOL DISTRICT,2015,24,,,,,,,,
280230020001,CLEARSTREAM AVENUE SCHOOL,2015,23,,,,,,,,
280230020002,FOREST ROAD SCHOOL,2015,23,,,,,,,,
280230020003,SHAW AVENUE SCHOOL,2015,24,,,,,,,,
280231020000,ISLAND PARK UNION FREE SCHOOL DISTRICT,2015,21,16,15,16,16,,,,
280401030000,WESTBURY UNION FREE SCHOOL DISTRICT,2014,24,21,21,22,22,24,19,17,24
280401030001,PARK AVENUE SCHOOL,2014,27,,,,,,,,
280401030002,DREXEL AVENUE SCHOOL,2014,23,,,,,,,,
280401030003,DRYDEN STREET SCHOOL,2014,,,,,,,,,
280401030005,POWELLS LANE SCHOOL,2014,22,,,,,,,,
280401030006,WESTBURY MIDDLE SCHOOL,2014,,21,21,22,22,,,,
280401030007,WESTBURY HIGH SCHOOL,2014,,,,,,24,19,17,24
280231020001,ISLAND PARK LINCOLN ORENS MIDDLE SCHOOL,2015,23,16,15,16,16,,,,
280231020003,FRANCIS X HEGARTY ELEMENTARY SCHOOL,2015,21,,,,,,,,
280251070000,VALLEY STREAM CENTRAL HIGH SCHOOL DISTRICT,2015,,25,24,24,25,26,20,24,25
280251070001,VALLEY STREAM MEMORIAL JUNIOR HIGH SCHOOL,2015,,24,23,23,25,26,,,
280251070002,VALLEY STREAM NORTH HIGH SCHOOL,2015,,26,25,25,25,26,19,28,24
280251070003,VALLEY STREAM SOUTH HIGH SCHOOL,2015,,27,26,26,26,25,24,22,25
280251070004,VALLEY STREAM CENTRAL HIGH SCHOOL,2015,,,,,,26,20,23,26
280252070000,SEWANHAKA CENTRAL HIGH SCHOOL DISTRICT,2015,,27,25,26,26,27,25,26,27
280252070002,ELMONT MEMORIAL HIGH SCHOOL,2015,,26,23,26,26,24,23,26,26
280402030000,EAST WILLISTON UNION FREE SCHOOL DISTRICT,2014,21,20,22,19,23,21,16,18,22
280402030001,NORTH SIDE SCHOOL,2014,21,,,,,,,,
280402030003,WHEATLEY SCHOOL,2014,,20,24,19,22,21,16,18,22
280403030000,ROSLYN UNION FREE SCHOOL DISTRICT,2014,21,21,22,23,25,25,24,23,21
280403030004,EAST HILLS ELEMENTARY SCHOOL,2014,21,,,,,,,,
280403030006,ROSLYN HEIGHTS ELEMENTARY SCHOOL,2014,21,,,,,,,,
280252070003,FLORAL PARK MEMORIAL HIGH SCHOOL,2015,,27,28,26,25,25,27,26,25
280252070004,H FRANK CAREY HIGH SCHOOL,2015,,28,27,26,25,29,27,28,26
280252070005,NEW HYDE PARK MEMORIAL HIGH SCHOOL,2015,,28,21,24,28,26,25,24,28
280252070006,SEWANHAKA HIGH SCHOOL,2015,,28,27,29,,29,23,26,28
280253070000,BELLMORE-MERRICK CENTRAL HIGH SCHOOL DISTRICT,2015,,25,25,25,25,25,23,21,24
280253070002,GRAND AVENUE MIDDLE SCHOOL,2015,,26,25,25,25,,,,
280253070004,MERRICK AVENUE MIDDLE SCHOOL,2015,,25,25,25,24,,,,
280253070005,SANFORD H CALHOUN HIGH SCHOOL,2015,,,,,,27,23,21,23
280253070006,WELLINGTON C MEPHAM HIGH SCHOOL,2015,,,,,,25,23,20,25
280403030007,HARBOR HILL SCHOOL,2014,21,,,,,,,,
280403030008,ROSLYN HIGH SCHOOL,2014,,20,,20,,25,24,23,21
280403030009,ROSLYN MIDDLE SCHOOL,2014,,22,22,29,25,,,,
280404030000,PORT WASHINGTON UNION FREE SCHOOL DISTRICT,2014,22,25,23,23,24,19,22,27,21
280404030002,GUGGENHEIM ELEMENTARY SCHOOL,2014,24,,,,,,,,
280404030004,MANORHAVEN ELEMENTARY SCHOOL,2014,22,,,,,,,,
280404030005,JOHN J DALY ELEMENTARY SCHOOL,2014,23,,,,,,,,
280404030006,SOUTH SALEM ELEMENTARY SCHOOL,2014,21,,,,,,,,
280253070007,JOHN F KENNEDY HIGH SCHOOL,2015,,,,,,25,23,24,23
280300010000,LONG BEACH CITY SCHOOL DISTRICT,2015,21,20,15,20,21,21,17,23,22
280300010002,EAST ELEMENTARY SCHOOL,2015,21,,,,,,,,
280300010003,LIDO ELEMENTARY SCHOOL,2015,21,,,,,,,,
280300010004,WEST ELEMENTARY SCHOOL,2015,21,,,,,,,,
280300010005,LINDELL BOULEVARD SCHOOL,2015,21,,,,,,,,
280300010006,LONG BEACH MIDDLE SCHOOL,2015,,20,15,20,20,,,,
280300010008,LONG BEACH SENIOR HIGH SCHOOL,2015,,,,,,21,17,23,22
280401030000,WESTBURY UNION FREE SCHOOL DISTRICT,2015,25,24,23,23,22,24,16,,31
280404030007,JOHN PHILIP SOUSA ELEMENTARY SCHOOL,2014,22,,,,,,,,
280404030008,CARRIE PALMER WEBER MIDDLE SCHOOL,2014,,25,23,23,24,,,,
280404030009,PAUL D SCHREIBER SENIOR HIGH SCHOOL,2014,,,,,,19,22,27,21
280405020000,NEW HYDE PARK-GARDEN CITY PARK UNION FREE SCHOOL DISTRICT,2014,22,,,,,,,,
280405020001,GARDEN CITY PARK SCHOOL,2014,18,,,,,,,,
